0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
6.8854,6.1568,6.1373,6.1608,6.8564,8.0829,6.1176,8.1388,8.277,6.8399,7.9671,5.4556,6.1308,6.6675,8.0502,6.3876,6.9156,8.2768,7.5605,6.3763,8.3273,6.5317,7.8641,6.1674,8.278,8.2776,8.2771,8.2771,8.2786,6.831,8.2765,8.2769,8.5885,8.2785,6.8234,8.2992,8.2778,8.2774,6.3057,8.2768,6.9567,6.3345,6.4179,8.2768,6.2053,6.7713,6.3069,8.2816,8.2791,6.5301,6.2638,5.7551,6.6094,8.3151,6.137,8.2771,8.2765,8.277,6.8333,8.2765,8.2795,6.7971,8.2771,6.8342,8.2793,6.8296,6.5019,8.2768,8.2936,5.6494,8.2774,8.2769,6.2999,8.7017,7.7612,5.4617,6.6654,8.0125,8.2891,7.6749,7.4307,5.7961,6.3582,8.3444,6.836,6.1202,8.309,8.2786,8.2786,8.5082,6.2791,8.3094,8.295,8.2767,8.2793,5.7749,6.8276,6.584,5.4917,8.3199,7.161,6.3418,5.7218,6.6602,8.6714,6.8269,8.4345,8.2771
6.8333,6.1608,6.137,6.1176,6.8854,8.1388,6.1308,8.2765,8.2769,6.9567,8.0125,5.4917,6.1674,6.8564,8.0829,6.2638,6.7971,8.2771,7.6749,6.3582,8.3199,6.5301,7.9671,6.2053,8.2785,8.2791,8.277,8.2771,8.2774,6.8296,8.2765,8.2771,8.6714,8.2786,6.8269,8.3094,8.2795,8.2776,6.3418,8.2769,7.161,6.3069,6.5019,8.2768,6.2791,6.8234,6.3057,8.2891,8.278,6.3876,6.1202,5.6494,6.6675,8.309,6.1568,8.2768,8.2767,8.2771,6.6654,8.2765,8.2793,6.3763,8.2768,6.8399,8.2816,6.836,6.584,8.277,8.295,5.4556,8.2786,8.2771,6.3345,5.7961,7.8641,0.0,6.5317,8.0502,8.2936,7.7612,7.5605,5.7749,6.6094,8.4345,6.8342,6.1373,8.3444,8.2786,8.2778,8.5885,6.2999,8.3273,8.2992,8.2768,8.2793,5.7218,6.831,6.6602,5.4617,8.3151,7.4307,6.4179,5.7551,6.7713,8.7017,6.8276,8.5082,8.2774
6.6654,6.1176,6.1568,6.1308,6.8333,8.2765,6.1674,8.2765,8.2771,7.161,8.0502,5.4617,6.2053,6.8854,8.1388,6.1202,6.3763,8.2768,7.7612,6.6094,8.3151,6.3876,8.0125,6.2791,8.2786,8.278,8.2771,8.2768,8.2786,6.836,8.2765,8.2774,8.7017,8.2774,6.8276,8.3273,8.2793,8.2791,6.4179,8.2771,7.4307,6.3057,6.584,8.2769,6.2999,6.8269,6.3418,8.2936,8.2785,6.2638,6.1373,5.4556,6.8564,8.3444,6.1608,8.2768,8.2768,8.2771,6.5317,8.2767,8.2793,6.3582,8.2771,6.9567,8.2891,6.8342,6.6602,8.2769,8.2992,5.4917,8.2786,8.277,6.3069,5.7749,7.9671,0.0,6.5301,8.0829,8.295,7.8641,7.6749,5.7218,6.6675,8.5082,6.8399,6.137,8.4345,8.2778,8.2795,8.6714,6.3345,8.3199,8.3094,8.277,8.2816,5.7551,6.8296,6.7713,0.0,8.309,7.5605,6.5019,5.6494,6.8234,5.7961,6.831,8.5885,8.2776
6.5317,6.1308,6.1608,6.1674,6.6654,8.2765,6.2053,8.2765,8.277,7.4307,8.0829,0.0,6.2791,6.8333,8.2765,6.1373,6.3582,8.2768,7.8641,6.6675,8.309,6.2638,8.0502,6.2999,8.2774,8.2785,8.2771,8.2771,8.2786,6.8342,8.2767,8.2776,5.7961,8.2786,6.831,8.3199,8.2793,8.278,6.5019,8.2774,7.5605,6.3418,6.6602,8.2771,6.3345,6.8276,6.4179,8.295,8.2786,6.1202,6.137,5.4917,6.8854,8.4345,6.1176,8.2769,8.277,8.2768,6.5301,8.2768,8.2816,6.6094,8.2768,7.161,8.2936,6.8399,6.7713,8.2771,8.3094,5.4617,8.2778,8.2771,6.3057,5.7218,8.0125,0.0,6.3876,8.1388,8.2992,7.9671,7.7612,5.7551,6.8564,8.5885,6.9567,6.1568,8.5082,8.2795,8.2793,8.7017,6.3069,8.3151,8.3273,8.2769,8.2891,5.6494,6.836,6.8234,0.0,8.3444,7.6749,6.584,5.4556,6.8269,5.7749,6.8296,8.6714,8.2791
6.5301,6.1674,6.1176,6.2053,6.5317,8.2765,6.2791,8.2767,8.2771,7.5605,8.1388,0.0,6.2999,6.6654,8.2765,6.137,6.6094,8.2769,7.9671,6.8564,8.3444,6.1202,8.0829,6.3345,8.2786,8.2786,8.2768,8.2768,8.2778,6.8399,8.2768,8.2791,5.7749,8.2786,6.8296,8.3151,8.2816,8.2785,6.584,8.2776,7.6749,6.4179,6.7713,8.2774,6.3069,6.831,6.5019,8.2992,8.2774,6.1373,6.1568,5.4617,6.8333,8.5082,6.1308,8.2771,8.2769,8.2771,6.3876,8.277,8.2891,6.6675,8.2768,7.4307,8.295,6.9567,6.8234,8.277,8.3273,0.0,8.2795,8.2771,6.3418,5.7551,8.0502,0.0,6.2638,8.2765,8.3094,8.0125,7.8641,5.6494,6.8854,8.6714,7.161,6.1608,8.5885,8.2793,8.2793,5.7961,6.3057,8.309,8.3199,8.2771,8.2936,5.4556,6.8342,6.8269,0.0,8.4345,7.7612,6.6602,5.4917,6.8276,5.7218,6.836,8.7017,8.278
6.3876,6.2053,6.1308,6.2791,6.5301,8.2767,6.2999,8.2768,8.2771,7.6749,8.2765,0.0,6.3345,6.5317,8.2765,6.1568,6.6675,8.2771,8.0125,6.8854,8.4345,6.1373,8.1388,6.3069,8.2786,8.2774,8.2771,8.2768,8.2795,6.9567,8.277,8.278,5.7218,8.2778,6.836,8.309,8.2891,8.2786,6.6602,8.2791,7.7612,6.5019,6.8234,8.2776,6.3057,6.8296,6.584,8.3094,8.2786,6.137,6.1608,0.0,6.6654,8.5885,6.1674,8.2774,8.2771,8.2768,6.2638,8.2769,8.2936,6.8564,8.2769,7.5605,8.2992,7.161,6.8269,8.2771,8.3199,0.0,8.2793,8.2768,6.4179,5.6494,8.0829,0.0,6.1202,8.2765,8.3273,8.0502,7.9671,5.4556,6.8333,8.7017,7.4307,6.1176,8.6714,8.2793,8.2816,5.7749,6.3418,8.3444,8.3151,8.277,8.295,5.4917,6.8399,6.8276,0.0,8.5082,7.8641,6.7713,5.4617,6.831,5.7551,6.8342,5.7961,8.2785
6.2638,6.2791,6.1674,6.2999,6.3876,8.2768,6.3345,8.277,8.2768,7.7612,8.2765,0.0,6.3069,6.5301,8.2767,6.1608,6.8564,8.2774,8.0502,6.8333,8.5082,6.137,8.2765,6.3057,8.2778,8.2786,8.2768,8.2769,8.2793,7.161,8.2769,8.2785,5.7551,8.2795,6.8342,8.3444,8.2936,8.2774,6.7713,8.278,7.8641,6.584,6.8269,8.2791,6.3418,6.836,6.6602,8.3273,8.2786,6.1568,6.1176,0.0,6.5317,8.6714,6.2053,8.2776,8.277,8.2768,6.1202,8.2771,8.295,6.8854,8.2771,7.6749,8.3094,7.4307,6.8276,8.2771,8.3151,0.0,8.2793,8.2771,6.5019,5.4556,8.1388,0.0,6.1373,8.2765,8.3199,8.0829,8.0125,5.4917,6.6654,5.7961,7.5605,6.1308,8.7017,8.2816,8.2891,5.7218,6.4179,8.4345,8.309,8.2771,8.2992,5.4617,6.9567,6.831,0.0,8.5885,7.9671,6.8234,0.0,6.8296,5.6494,6.8399,5.7749,8.2786
6.1202,6.2999,6.2053,6.3345,6.2638,8.277,6.3069,8.2769,8.2771,7.8641,8.2765,0.0,6.3057,6.3876,8.2768,6.1176,6.8854,8.2776,8.0829,6.6654,8.5885,6.1568,8.2765,6.3418,8.2795,8.2786,8.2768,8.2771,8.2793,7.4307,8.2771,8.2786,5.6494,8.2793,6.8399,8.4345,8.295,8.2786,6.8234,8.2785,7.9671,6.6602,6.8276,8.278,6.4179,6.8342,6.7713,8.3199,8.2778,6.1608,6.1308,0.0,6.5301,8.7017,6.2791,8.2791,8.2771,8.2769,6.1373,8.277,8.2992,6.8333,8.2774,7.7612,8.3273,7.5605,6.831,8.2768,8.309,0.0,8.2816,8.2768,6.584,5.4917,8.2765,0.0,6.137,8.2767,8.3151,8.1388,8.0502,5.4617,6.5317,5.7749,7.6749,6.1674,5.7961,8.2891,8.2936,5.7551,6.5019,8.5082,8.3444,8.2771,8.3094,0.0,7.161,6.8296,0.0,8.6714,8.0125,6.8269,0.0,6.836,5.4556,6.9567,5.7218,8.2774
6.1373,6.3345,6.2791,6.3069,6.1202,8.2769,6.3057,8.2771,8.2768,7.9671,8.2767,0.0,6.3418,6.2638,8.277,6.1308,6.8333,8.2791,8.1388,6.5317,8.6714,6.1608,8.2765,6.4179,8.2793,8.2778,8.2769,8.2774,8.2816,7.5605,8.277,8.2774,5.4556,8.2793,6.9567,8.5082,8.2992,8.2786,6.8269,8.2786,8.0125,6.7713,6.831,8.2785,6.5019,6.8399,6.8234,8.3151,8.2795,6.1176,6.1674,0.0,6.3876,5.7961,6.2999,8.278,8.2771,8.2771,6.137,8.2771,8.3094,6.6654,8.2776,7.8641,8.3199,7.6749,6.8296,8.2771,8.3444,0.0,8.2891,8.2768,6.6602,5.4617,8.2765,0.0,6.1568,8.2768,8.309,8.2765,8.0829,0.0,6.5301,5.7218,7.7612,6.2053,5.7749,8.2936,8.295,5.6494,6.584,8.5885,8.4345,8.2768,8.3273,0.0,7.4307,6.836,0.0,8.7017,8.0502,6.8276,0.0,6.8342,5.4917,7.161,5.7551,8.2786
6.137,6.3069,6.2999,6.3057,6.1373,8.2771,6.3418,8.277,8.2768,8.0125,8.2768,0.0,6.4179,6.1202,8.2769,6.1674,6.6654,8.278,8.2765,6.5301,8.7017,6.1176,8.2767,6.5019,8.2793,8.2795,8.2771,8.2776,8.2891,7.6749,8.2771,8.2786,5.4917,8.2816,7.161,8.5885,8.3094,8.2778,6.8276,8.2774,8.0502,6.8234,6.8296,8.2786,6.584,6.9567,6.8269,8.309,8.2793,6.1308,6.2053,0.0,6.2638,5.7749,6.3345,8.2785,8.2768,8.2774,6.1568,8.2771,8.3273,6.5317,8.2791,7.9671,8.3151,7.7612,6.836,8.2768,8.4345,0.0,8.2936,8.2769,6.7713,0.0,8.2765,0.0,6.1608,8.277,8.3444,8.2765,8.1388,0.0,6.3876,5.7551,7.8641,6.2791,5.7218,8.295,8.2992,5.4556,6.6602,8.6714,8.5082,8.2771,8.3199,0.0,7.5605,6.8342,0.0,5.7961,8.0829,6.831,0.0,6.8399,5.4617,7.4307,5.6494,8.2786
6.1568,6.3057,6.3345,6.3418,6.137,8.277,6.4179,8.2771,8.2769,8.0502,8.277,0.0,6.5019,6.1373,8.2771,6.2053,6.5317,8.2785,8.2765,6.3876,5.7961,6.1308,8.2768,6.584,8.2816,8.2793,8.2774,8.2791,8.2936,7.7612,8.2771,8.2786,5.4617,8.2891,7.4307,8.6714,8.3273,8.2795,6.831,8.2786,8.0829,6.8269,6.836,8.2774,6.6602,7.161,6.8276,8.3444,8.2793,6.1674,6.2791,0.0,6.1202,5.7218,6.3069,8.2786,8.2771,8.2776,6.1608,8.2768,8.3199,6.5301,8.278,8.0125,8.309,7.8641,6.8342,8.2768,8.5082,0.0,8.295,8.2771,6.8234,0.0,8.2767,0.0,6.1176,8.2769,8.4345,8.2765,8.2765,0.0,6.2638,5.6494,7.9671,6.2999,5.7551,8.2992,8.3094,5.4917,6.7713,8.7017,8.5885,8.2768,8.3151,0.0,7.6749,6.8399,0.0,5.7749,8.1388,6.8296,0.0,6.9567,0.0,7.5605,5.4556,8.2778
6.1608,6.3418,6.3069,6.4179,6.1568,8.2771,6.5019,8.2771,8.2771,8.0829,8.2769,0.0,6.584,6.137,8.277,6.2791,6.5301,8.2786,8.2765,6.2638,5.7749,6.1674,8.277,6.6602,8.2891,8.2793,8.2776,8.278,8.295,7.8641,8.2768,8.2778,0.0,8.2936,7.5605,8.7017,8.3199,8.2793,6.8296,8.2786,8.1388,6.8276,6.8342,8.2786,6.7713,7.4307,6.831,8.4345,8.2816,6.2053,6.2999,0.0,6.1373,5.7551,6.3057,8.2774,8.2768,8.2791,6.1176,8.2771,8.3151,6.3876,8.2785,8.0502,8.3444,7.9671,6.8399,8.2769,8.5885,0.0,8.2992,8.2774,6.8269,0.0,8.2768,0.0,6.1308,8.2771,8.5082,8.2767,8.2765,0.0,6.1202,5.4556,8.0125,6.3345,5.6494,8.3094,8.3273,5.4617,6.8234,5.7961,8.6714,8.2768,8.309,0.0,7.7612,6.9567,0.0,5.7218,8.2765,6.836,0.0,7.161,0.0,7.6749,5.4917,8.2795
6.8564,6.137,6.1202,6.1568,6.6675,8.0502,6.1608,8.0829,8.2768,6.8342,7.8641,5.6494,6.1176,6.6094,8.0125,6.5301,6.7451,8.2771,7.4307,6.7971,8.3094,6.6654,7.7612,6.1308,8.2791,8.2774,8.2769,8.277,8.2785,6.8276,8.1388,8.2768,8.5082,8.278,6.7713,8.295,8.2786,8.2771,6.3069,8.2768,6.8399,6.2999,6.3418,8.2771,6.1674,6.6602,6.3345,8.2793,8.2776,6.5317,6.3876,5.7218,6.3582,8.3199,6.1373,8.2768,8.2765,8.2771,6.8854,8.2765,8.2778,6.9156,8.2771,6.836,8.2793,6.831,6.4179,8.2767,8.2891,5.7551,8.2786,8.277,6.2791,8.6714,7.6749,5.4917,6.8333,7.9671,8.2816,7.5605,7.161,8.7017,6.3763,8.309,6.8296,6.2638,8.3151,8.2774,8.2786,8.4345,6.2053,8.2992,8.2936,8.2765,8.2795,5.7961,6.8269,6.5019,5.4556,8.3273,6.9567,6.3057,5.7749,6.584,8.5885,6.8234,8.3444,8.2769
